cartodb_id,the_geom,time,latitude,longitude,depth,mag,magtype,nst,gap,dmin,rms,net,id,updated,place,type
1203,0101000020E6100000A3703D0AD7B35EC0C84A822678684340,2015-10-13 07:51:02.49+00,38.8161667,-122.81,2.68,1.5,md,20,77,0.0141,0.06,nc,nc72535925,2015-10-15 03:07:20.21+00,"6km NW of The Geysers, California",earthquake
1204,0101000020E6100000E5E6C0174B265EC06ABC749318044240,2015-10-13 07:45:15.25+00,36.032,-120.5983333,1.65,0.45,md,21,112,0.03677,0.06,nc,nc72535915,2015-10-17 00:31:22.91+00,"24km WSW of Coalinga, California",earthquake
1205,0101000020E61000008095438B6CB35EC0A89A0FBEE66A4340,2015-10-13 07:43:37.09+00,38.8351667,-122.8035,2.25,0.94,md,7,117,0.0279,0.02,nc,nc72535920,2015-10-15 02:08:30.88+00,"7km WNW of Cobb, California",earthquake
1206,0101000020E610000093026619BDBD5EC0663A2AEDC3B74340,2015-10-13 07:42:54.4+00,39.4356667,-122.9646667,8.79,1.56,md,23,38,0.06516,0.06,nc,nc72535910,2015-10-17 00:30:51.65+00,"28km NE of Redwood Valley, California",earthquake
1207,0101000020E6100000B6DD5F9827CA5BC00000000000604640,2015-10-13 07:42:17.78+00,44.75,-111.1586667,9.25,1.54,ml,15,58,0.027,0.19,uu,uu60126162,2015-10-13 17:06:34.74+00,"10km NNW of West Yellowstone, Montana",earthquake
1208,0101000020E6100000C50A123617265DC0FAAAA63517CA4040,2015-10-13 07:33:33.98+00,33.5788333,-116.5951667,13.46,0.66,ml,39,47,0.01931,0.12,ci,ci37475000,2015-10-13 15:38:30.38+00,"8km ENE of Anza, California",earthquake
1210,0101000020E610000053F943D815B05EC0B6F3FDD478694340,2015-10-13 07:12:44.27+00,38.824,-122.7513333,0.37,0.92,md,8,98,0.0379,0.03,nc,nc72535905,2015-10-14 02:20:03.88+00,"2km W of Cobb, California",earthquake
1211,0101000020E610000099081B9E5ED562C014AE47E17A844F40,2015-10-13 07:07:45+00,63.035,-150.6678,120.4,1.6,ml,,,,0.51,ak,ak11738474,2015-10-13 08:52:35.144+00,"84km NNW of Talkeetna, Alaska",earthquake
1212,0101000020E6100000B30C71AC8BCF62C0DDB5847CD0A34F40,2015-10-13 06:44:13+00,63.2798,-150.4858,130.1,1.8,ml,,,,0.4,ak,ak11738470,2015-10-13 07:51:29.074+00,"77km W of Cantwell, Alaska",earthquake
1213,0101000020E61000002FDD2406815D56C01903A1AB631A4240,2015-10-13 06:42:22.15+00,36.2061667,-89.461,8.98,1.7,md,18,60,0.04066,0.03,nm,nm60118901,2015-10-14 12:29:35.97+00,"6km SSE of Ridgely, Tennessee",earthquake
1214,0101000020E610000005973380DC6358C07567DC8AB39F4240,2015-10-13 06:32:18.7+00,37.2476667,-97.5603333,5.18,1.95,ml,20,175,0.01854,0.05,ismpkansas,ismpkansas70143783,2015-10-13 21:34:22.7+00,"16km W of Wellington, Kansas",earthquake
1215,0101000020E6100000DB0F1DA70D245DC08A6CE7FBA9894040,2015-10-13 06:16:55.02+00,33.0755,-116.5633333,6.25,0.75,ml,23,63,0.02924,0.17,ci,ci37474992,2015-10-13 13:18:40.6+00,"4km E of Julian, California",earthquake
1216,0101000020E6100000DBE3E02D6B355DC04134A95780DC4040,2015-10-13 06:02:05.73+00,33.7226667,-116.8346667,15.19,0.63,ml,25,91,0.08236,0.14,ci,ci37474984,2015-10-13 13:18:47.46+00,"6km ESE of Valle Vista, California",earthquake
1217,0101000020E610000047CBDCD75C405DC0448AB78432EA4040,2015-10-13 06:00:18.92+00,33.8296667,-117.0056667,11.41,0.98,ml,28,46,0.1001,0.17,ci,ci37474976,2015-10-13 13:19:54.28+00,"7km NW of San Jacinto, California",earthquake
1218,0101000020E61000005C6DC5FEB2B35DC0B30C71AC8BDB4240,2015-10-13 05:51:08.888+00,37.7152,-118.8078,12,0,ml,6,199.25,0.088,0.0741,nn,nn00514518,2015-10-16 15:27:40.538+00,"16km ENE of Mammoth Lakes, California",earthquake
1219,0101000020E610000076E09C11A55B62C0B515FBCBEE2D5040,2015-10-13 05:51:08+00,64.7177,-146.8639,8.3,1.1,ml,,,,0.46,ak,ak11738461,2015-10-13 06:44:40.233+00,"10km NE of Eielson Air Force Base, Alaska",earthquake
1220,0101000020E610000014AE47E17AE85DC068B3EA73B5ED4440,2015-10-13 05:50:51.211+00,41.8571,-119.6325,7.7,0.7,ml,4,223.75,0.155,0.1673,nn,nn00514497,2015-10-16 15:26:57.248+00,"69km ESE of Lakeview, Oregon",earthquake
1221,0101000020E610000057F88E754C405DC0C61FFB0F9FE94040,2015-10-13 05:48:33.44+00,33.8251667,-117.0046667,11.75,1.53,ml,78,22,0.03508,0.16,ci,ci37474968,2015-10-13 15:18:29.19+00,"6km NW of San Jacinto, California",earthquake
1222,0101000020E6100000AA8251499D3263C0B8AF03E78CE84D40,2015-10-13 05:30:48+00,59.8168,-153.5817,122.5,3.3,ml,,,,0.74,ak,ak11738432,2015-10-13 13:33:16.645+00,"75km E of Old Iliamna, Alaska",earthquake
